Type,Name
a,Language material
t,Manuscript language material
a,Language material
m,Computer file
e,Cartographic material
f,Manuscript cartographic material
p,Mixed materials
i,Nonmusical sound recording
j,Musical sound recording
c,Notated music
d,Manuscript notated music
g,Projected medium
k,Two-dimensional nonprojected graphic
o,Kit
r,Three-dimensional artifact or naturally occurring object
